"ID","Phase","Epic","Task","Spec Ref","Priority","Est (person-days)","Owner Role","Dependencies","Acceptance / Notes"
"P0-01","0 - Scaffold","Repo & Tooling","Set up monorepo (Turborepo/pnpm: apps/web, apps/api, apps/realtime, packages/shared)","Sec 3,9","P0","5","DevOps/FE","-","Single-command install/build across all packages"
"P0-02","0 - Scaffold","Repo & Tooling","Shared TypeScript, ESLint, Prettier config","Sec 3","P0","3","FE","P0-01","Consistent lint/typecheck across packages in CI"
"P0-03","0 - Scaffold","Dev Env","Docker Compose dev env (Postgres + Redis + MinIO)","Sec 3,4","P0","5","DevOps","P0-01","docker compose up brings up all backing services locally"
"P0-04","0 - Scaffold","CI/CD","CI pipeline (lint, typecheck, test, build)","Sec 8","P0","5","DevOps","P0-01","PRs blocked on green checks"
"P0-05","0 - Scaffold","Data Layer","PostgreSQL schema + migrations for all Sec 5 entities","Sec 5","P0","8","BE","P0-01","Migrations apply cleanly; User/Space/Floor/Room/PlacedObject/Membership/Channel/Message present"
"P0-06","0 - Scaffold","Data Layer","Redis presence key conventions + pub/sub channels","Sec 4,5","P0","3","BE","P0-03","Documented key schema for presence/position/fan-out"
"P0-07","0 - Scaffold","Auth","Core auth (Clerk/Auth0/JWT) + session handling","Sec 3","P0","8","BE","P0-05","Login/logout; authenticated API calls; guest session stub"
"P0-08","0 - Scaffold","API","NestJS API skeleton + health + auth guards","Sec 4","P0","5","BE","P0-05","Protected/unprotected routes; health endpoint"
"P0-09","0 - Scaffold","Realtime","Realtime/state server skeleton (Colyseus or Socket.IO)","Sec 4","P0","5","RT","P0-01","Client can connect, join a floor room, receive ticks"
"P0-10","0 - Scaffold","Shared Types","Shared types package (Sec 5 models incl. (x,y,z))","Sec 4.2,5","P0","5","BE","P0-01","One source of types for client + servers; view-agnostic positions"
"P0-11","0 - Scaffold","Storage","S3/R2 storage abstraction + signed upload/download URLs","Sec 3","P1","5","BE","P0-03","Upload an asset, retrieve via signed URL"
"P0-12","0 - Scaffold","Observability","Sentry (errors) + PostHog/Statsig (analytics + flags) wiring","Sec 3","P1","3","DevOps","P0-08","Errors and events captured in dev"
"P1-01","1 - World & Movement","Shared State","View-agnostic Zustand world-state store (positions x,y,z, presence, rooms, objects)","Sec 4.2","P0","8","FE","P0-10","Store has no renderer awareness; both renderers will read it"
"P1-02","1 - World & Movement","World Load","Floor + PlacedObject API and client load pipeline","Sec 6.1","P0","5","BE","P0-05","Saved floor loads furniture/objects in correct positions"
"P1-03","1 - World & Movement","2D Renderer","Integrate Phaser canvas into React shell","Sec 6.1","P0","5","FE","P1-01","WebGL canvas mounts/unmounts cleanly inside React"
"P1-04","1 - World & Movement","2D Renderer","Tilemap/background rendering from Floor","Sec 6.1","P0","5","FE","P1-03","Floor background and tiles render from data"
"P1-05","1 - World & Movement","Avatars","Avatar sprite + name label + status indicator","Sec 6.2","P0","5","FE","P1-03","Avatar renders with label and live status dot"
"P1-06","1 - World & Movement","Movement","WASD/arrow movement via single movement-intent layer -> state","Sec 6.2,4.2","P0","5","FE","P1-01,P1-05","Keyboard moves avatar; updates shared (x,y,z) only"
"P1-07","1 - World & Movement","Movement","Click-to-move with A* pathfinding on nav grid","Sec 6.2","P1","8","FE","P1-06","Avatar routes around obstacles to clicked point"
"P1-08","1 - World & Movement","Movement","Collision detection vs collidable objects + boundaries","Sec 6.1,6.2","P0","5","FE","P1-04,P1-06","Cannot walk through walls/objects or off-floor"
"P1-09","1 - World & Movement","Camera","Camera pan/zoom + smooth follow of local avatar","Sec 6.1","P0","5","FE","P1-03","Pan, zoom, and follow work smoothly"
"P1-10","1 - World & Movement","Minimap","Mini-map / Map view of all users","Sec 6.1","P1","5","FE","P1-05","Minimap shows everyone's location on the floor"
"P1-11","1 - World & Movement","Sync","Authoritative position sync at 10-20 Hz","Sec 4,6.2","P0","8","RT","P0-09,P1-06","Server is source of truth; broadcasts to same-floor clients"
"P1-12","1 - World & Movement","Sync","Remote avatar interpolation/smoothing","Sec 6.2","P0","5","FE","P1-11","Two-tab movement looks smooth, <150 ms perceived"
"P1-13","1 - World & Movement","Presence","Presence join/leave + member roster","Sec 6.19","P0","5","RT","P1-11","Roster updates as users enter/leave the floor"
"P2-01","2 - Media & Spatial Audio","SFU","Deploy LiveKit + token service in API","Sec 3,4","P0","8","Media/DevOps","P0-08","Client obtains token and connects to LiveKit room per floor"
"P2-02","2 - Media & Spatial Audio","Media Client","Client media manager: publish local cam/mic","Sec 6.6","P0","8","Media","P2-01","Local tracks publish; visible to other clients"
"P2-03","2 - Media & Spatial Audio","Video","Video bubble on avatar + fallback to initials/photo","Sec 6.2,6.6","P0","5","FE","P2-02,P1-05","Video tracks avatar; falls back when cam off; starts <2s"
"P2-04","2 - Media & Spatial Audio","Spatial Audio","Web Audio engine: MediaStreamSource -> PannerNode -> destination","Sec 6.3","P0","8","Media","P2-02","Remote audio routed through PannerNode graph"
"P2-05","2 - Media & Spatial Audio","Spatial Audio","Distance attenuation + stereo pan from relative (x,y,z), updated per tick","Sec 6.3","P0","8","Media","P2-04,P1-01","Volume/pan track relative position every frame/tick"
"P2-06","2 - Media & Spatial Audio","Spatial Audio","Audio radius model (quiet/normal/megaphone), host-settable","Sec 6.3","P1","5","FE","P2-05","Radius changes audibly adjust who is heard"
"P2-07","2 - Media & Spatial Audio","Culling","Proximity-based track subscribe/unsubscribe (bandwidth culling)","Sec 6.3,8","P0","8","Media","P2-04,P1-11","Out-of-range tracks not subscribed; resubscribe on approach"
"P2-08","2 - Media & Spatial Audio","Controls","Mic/cam device selection + mute/unmute","Sec 6.6","P0","5","FE","P2-02","Switch devices; toggle mute reflected to others"
"P2-09","2 - Media & Spatial Audio","Video","Gallery/grid view toggle","Sec 6.6,7","P1","5","FE","P2-03","Toggle between spatial and meeting-grid views"
"P2-10","2 - Media & Spatial Audio","Video","Simulcast/adaptive quality (distance + participant count)","Sec 6.6,8","P1","8","Media","P2-02","Distant/many participants downscale gracefully"
"P2-11","2 - Media & Spatial Audio","Reactions","Reaction emojis floating above avatar","Sec 6.6","P2","3","FE","P1-05","Emoji reactions appear over avatar and fade"
"P2-12","2 - Media & Spatial Audio","Test","Two-tab spatial-audio test harness","Sec 6.3,B","P0","5","QA","P2-05","Repeatable test proving fade-in/out + panning acceptance"
"P3-01","3 - Collaboration","Rooms","Room zone definition + point-in-bounds detection","Sec 6.4","P0","5","RT","P1-02","Entering room bounds is detected server-side"
"P3-02","3 - Collaboration","Rooms","Room audio isolation (full volume inside, mute/unsub outside)","Sec 6.4","P0","8","Media","P3-01,P2-07","Room members hear each other; outsiders excluded both ways"
"P3-03","3 - Collaboration","Doors","Door state machine (open/closed/locked) + sync","Sec 6.4","P0","5","RT","P3-01","Door state persists and syncs; locked blocks entry by role"
"P3-04","3 - Collaboration","Doors","Knock flow + occupant admit notification","Sec 6.4","P1","5","FE","P3-03","Outsider knocks; occupants get prompt to admit"
"P3-05","3 - Collaboration","Broadcast","Broadcast mode (floor/room override) + stage concept","Sec 6.5","P0","8","Media","P3-02","Broadcaster heard by all targets regardless of position"
"P3-06","3 - Collaboration","Broadcast","Multiple simultaneous broadcasts (multitrack)","Sec 6.5","P1","5","Media","P3-05","Different rooms run independent broadcasts at once"
"P3-07","3 - Collaboration","Screenshare","Simultaneous screenshare publish + viewable surfaces","Sec 6.7","P0","8","Media","P2-02","Two+ users share at once; each appears near sharer"
"P3-08","3 - Collaboration","Screenshare","Screen focus/enlarge + remote-control request/approve flow","Sec 6.7","P1","8","Media","P3-07","Focus a share; remote control requires explicit approval"
"P3-09","3 - Collaboration","Whiteboard","Whiteboard object (tldraw/Excalidraw) realtime + persistence","Sec 6.8","P1","8","FE","P1-02","Multi-user live editing; state restored on reopen"
"P3-10","3 - Collaboration","Chat","Multi-scope chat routing (nearby/floor/all-floors)","Sec 6.9","P0","8","RT","P1-11","Messages reach correct audience by scope"
"P3-11","3 - Collaboration","Chat","Channels, group DMs, 1:1 DMs + history persistence","Sec 6.9","P1","8","BE","P3-10","DMs private; channels work; history persists"
"P3-12","3 - Collaboration","Chat","@mentions, attachments, link previews, unread badges","Sec 6.9","P1","8","FE","P3-11","Mentions notify; attachments/previews render; unread tracked"
"P3-13","3 - Collaboration","Chat","Nudge (ping a specific user)","Sec 6.9","P2","3","FE","P3-10","Target user receives an attention ping"
"P3-14","3 - Collaboration","Media Wall","Offscreen <video> -> texture pipeline (shared by 2D + 3D)","Sec 6.22","P0","8","FE","P1-04","One playback element sampled as texture for both renderers"
"P3-15","3 - Collaboration","Media Wall","YouTube/Vimeo/Twitch official embed players","Sec 6.22,6.11","P0","5","FE","P3-14","Provider links play in-world via official APIs (no scraping)"
"P3-16","3 - Collaboration","Media Wall","HLS/DASH (hls.js/dash.js) + direct video + audio-stream via proximity audio","Sec 6.22","P1","8","Media","P3-14,P2-05","Live stream URLs play; audio attenuates with distance"
"P3-17","3 - Collaboration","Media Wall","Synced playbackState (play/pause/seek) + late-joiner snap","Sec 6.22","P0","8","RT","P3-14","Everyone sees same moment; late joiner snaps to current position"
"P3-18","3 - Collaboration","Media Wall","Submission queue + whoCanChange + visibility (nearby/floor)","Sec 6.22","P1","5","FE","P3-17","Queue prevents screen-yanking; nearby vs floor modes work"
"P3-19","3 - Collaboration","Media Wall","Safety: allow/denylist, rate limit, host mute/clear, audit log, iframe sandbox","Sec 6.22,8","P0","8","Security","P3-15,P3-16","Host can clear screen; abusive URLs blocked; actions logged"
"P4-01","4 - Customization & Floors","Editor","Drag-and-drop editor: place/move/rotate/scale/delete","Sec 6.10","P0","8","FE","P1-02","Objects manipulated on a floor and saved"
"P4-02","4 - Customization & Floors","Editor","Grid snapping, undo/redo, multi-select","Sec 6.10","P1","8","FE","P4-01","Snap to grid; undo/redo; select multiple objects"
"P4-03","4 - Customization & Floors","Editor","Room drawing tool + door/audio-mode assignment","Sec 6.10","P0","5","FE","P4-01,P3-01","Draw room bounds; assign door + room/broadcast audio mode"
"P4-04","4 - Customization & Floors","Assets","Asset library + image/GIF uploads","Sec 6.10","P1","8","FE","P4-01,P0-11","Library of furniture/decor; upload custom images/GIFs"
"P4-05","4 - Customization & Floors","Templates","Templates (office, lounge, conf hall, classroom, event hall)","Sec 6.10","P1","5","Design/FE","P4-04","Start a floor from a template"
"P4-06","4 - Customization & Floors","Persistence","Save/duplicate/version layouts","Sec 6.10","P1","5","BE","P4-01","Layouts persist for all members; can duplicate/version"
"P4-07","4 - Customization & Floors","Interactive Objects","YouTube TV, Spotify, games, bar, link tablet, signs","Sec 6.11","P1","8","FE","P3-15","Activating object near it triggers its function; embeds sandboxed"
"P4-08","4 - Customization & Floors","Multi-floor","Multi-floor model + floor switcher + per-floor media room","Sec 6.13","P0","8","BE/RT","P1-02","Navigate floors; presence/audio scope to current floor"
"P4-09","4 - Customization & Floors","Portals","Portal objects (targetFloorId, targetSpawn) + transition","Sec 6.25","P1","5","FE/RT","P4-08","Walk through door/portal to another floor"
"P4-10","4 - Customization & Floors","Outdoor","Outdoor floor environment (sky + ambient audio attenuation)","Sec 6.25","P1","5","FE","P4-08,P2-05","environment=outdoor; looping ambience fades with distance"
"P4-11","4 - Customization & Floors","Outdoor","Chai stall object (seat anchors, vendor NPC, sip-chai emote)","Sec 6.25","P2","5","FE/Design","P4-10","Gather at chai stall; sip-chai emote; relaxed proximity zone"
"P4-12","4 - Customization & Floors","Branding","Branding/white-label/custom domain","Sec 6.12","P1","8","FE/BE","P0-07","Custom slug/logo/colors; white-label toggle; enterprise domain"
"P5-01","5 - Org, Access & Integrations","RBAC","Role hierarchy + permission matrix, server-enforced","Sec 6.14","P0","8","BE","P0-07","Owner/Admin/FloorMgr/Member/Guest gating enforced on server"
"P5-02","5 - Org, Access & Integrations","RBAC","UI permission gating (hide unavailable controls)","Sec 6.14","P1","5","FE","P5-01","UI hides actions the role cannot perform"
"P5-03","5 - Org, Access & Integrations","Invites","Invites via space/floor/room links + email","Sec 6.15","P0","5","BE","P5-01","Recipients land in the right space/floor/room"
"P5-04","5 - Org, Access & Integrations","Guests","Guest URL join (no account) + time cap + limited perms","Sec 6.15","P0","8","BE","P5-01","Guest enters without signup; hits 4h/week cap -> register prompt"
"P5-05","5 - Org, Access & Integrations","Guests","CSV guest import (up to ~1,000 emails)","Sec 6.15","P2","5","BE","P5-03","Bulk guest list provisioned for events"
"P5-06","5 - Org, Access & Integrations","Access Control","Password, domain/email allowlist, public/private toggle","Sec 6.16","P0","8","BE","P5-01","Domain-restricted space rejects outside emails; password gate works"
"P5-07","5 - Org, Access & Integrations","Access Control","SSO (SAML 2.0/OIDC) + SCIM provisioning","Sec 3,6.16","P1","13","BE/Security","P5-01","Enterprise SSO login; auto user provisioning via SCIM"
"P5-08","5 - Org, Access & Integrations","Moderation","Mute / block / remove / report user","Sec 6.16","P0","5","FE/BE","P5-01","Moderators mute/remove disruptive users instantly"
"P5-09","5 - Org, Access & Integrations","Recording","Recording via LiveKit Egress -> S3 + shareable link/download","Sec 6.17","P1","8","Media","P2-01,P0-11","Host starts/stops; file retrievable from storage"
"P5-10","5 - Org, Access & Integrations","Recording","Recording indicator + multiple concurrent recordings","Sec 6.17,A","P1","5","Media","P5-09","All participants see indicator; >1 recording at once supported"
"P5-11","5 - Org, Access & Integrations","Integrations","Slack (presence sync, notifications, slash command)","Sec 6.18","P1","8","BE","P0-08","Status syncs; 'X entered office' notice; slash command join link"
"P5-12","5 - Org, Access & Integrations","Integrations","Google + Outlook Calendar (in-app cal, reminders, auto-status, one-click join)","Sec 6.18,6.19","P1","13","BE","P0-08","Calendar events drive auto-status; one-click join to a room"
"P5-13","5 - Org, Access & Integrations","Integrations","Microsoft Teams auto-status on Teams calls","Sec 6.18","P2","5","BE","P5-12","Status flips to In a meeting on Teams call"
"P5-14","5 - Org, Access & Integrations","Integrations","Embeds (YouTube/Spotify/Drive) + embeddable NexSpace iframe","Sec 6.18","P2","5","FE","P3-15","Embeds render; NexSpace itself embeds in another site"
"P5-15","5 - Org, Access & Integrations","API","Public REST API + webhooks + Zapier app","Sec 6.18,A","P1","13","BE","P0-08","Documented endpoints; webhooks fire; Zapier triggers/actions"
"P5-16","5 - Org, Access & Integrations","Analytics","Analytics dashboard (active users, time-in-office, room usage, peak concurrency) + CSV export","Sec 6.20","P1","8","BE/FE","P0-12","Admins view trends per floor/room; export to CSV"
"P55-01","5.5 - 3D View & Camera","Asset Registry","glTF asset registry (objectType -> {sprite2D, model3D, collider})","Sec 4.2,6.23","P0","5","3D","P1-01","Parity contract maps every type to 2D + 3D + collider"
"P55-02","5.5 - 3D View & Camera","Asset Pipeline","Low-poly glTF/GLB models per object + avatar (art) - one template floor first","Sec 6.23","P0","20","Art/3D","P55-01","Model set for one template floor + avatars; budgeted, expandable"
"P55-03","5.5 - 3D View & Camera","3D Renderer","Three.js + react-three-fiber renderer as second adapter over shared state","Sec 4.2,6.23","P0","13","3D","P55-01,P1-01","3D renderer reads same store; no state duplication"
"P55-04","5.5 - 3D View & Camera","3D Renderer","Ground plane + wall extrusion from room bounds x height","Sec 6.23","P0","8","3D","P55-03,P3-01","Rooms become 3D volumes matching 2D bounds"
"P55-05","5.5 - 3D View & Camera","3D Avatars","3D avatar models + billboarded live-video plane facing camera","Sec 6.23","P0","8","3D","P55-03,P2-03","Avatars carry live video that always faces the camera"
"P55-06","5.5 - 3D View & Camera","3D Media","Media walls + screenshare as VideoTexture planes","Sec 6.22,6.23","P1","5","3D","P55-03,P3-14","Same video pipeline renders as textures in 3D"
"P55-07","5.5 - 3D View & Camera","3D Audio","3D PannerNode positioning (z-axis + HRTF)","Sec 6.3,6.23","P0","5","Media","P55-03,P2-05","Spatial audio uses true 3D position in 3D view"
"P55-08","5.5 - 3D View & Camera","Toggle","2D<->3D live toggle (unmount/mount, no media restart) + persist viewMode","Sec 6.23,7","P0","8","FE","P55-03","Flip keeps position/people/audio; no reconnect; per-user remembered"
"P55-09","5.5 - 3D View & Camera","Camera","Third-person camera rig (spring follow) + mouse-look orbit","Sec 6.24","P0","8","3D","P55-03","Over-the-shoulder follow with smooth orbit"
"P55-10","5.5 - 3D View & Camera","Camera","First-person mode + V toggle (PointerLockControls)","Sec 6.24","P1","5","3D","P55-09","Switch to eye-level view with mouse-look"
"P55-11","5.5 - 3D View & Camera","Controls","Camera-relative WASD movement + facing sync to others","Sec 6.24,4.2","P0","5","3D/RT","P55-09,P1-11","WASD relative to camera; facing visible to 2D users"
"P55-12","5.5 - 3D View & Camera","Camera","Camera collision raycast (no clipping through walls)","Sec 6.24","P1","5","3D","P55-09","Camera pulls in when blocked; never clips"
"P55-13","5.5 - 3D View & Camera","Performance","GPU instancing, LOD, frustum + proximity culling, cap visible avatars","Sec 6.23,8","P0","8","3D","P55-03","3D floor stays smooth on mid-range GPU"
"P55-14","5.5 - 3D View & Camera","Fallback","Graceful fallback (supports3d=false / weak GPU -> 2D, disable toggle)","Sec 6.23,7","P0","5","FE","P55-08","Weak device auto-served 2D with tooltip"
"P6-01","6 - Polish, Scale, Apps, AI","Scale","Large-event scaling (SFU sharding, audio/video culling, 1,000+)","Sec 8","P1","13","Media/DevOps","P2-07","Load-tested 1,000+ attendee event stable"
"P6-02","6 - Polish, Scale, Apps, AI","Performance","Cross-browser QA (Firefox/Safari WebRTC) + low-end-device optimization","Sec 8,A","P1","13","QA/FE","P2-12","Works on Firefox/Safari; usable on low-end hardware"
"P6-03","6 - Polish, Scale, Apps, AI","Apps","Desktop app (Electron/Tauri) reusing core","Sec 7","P2","13","FE","P55-08","Desktop build ships with pop-out window"
"P6-04","6 - Polish, Scale, Apps, AI","Apps","Mobile apps (React Native) reusing core","Sec 7","P2","21","Mobile","P3-10","iOS/Android join, move, talk, chat"
"P6-05","6 - Polish, Scale, Apps, AI","Onboarding","First-run onboarding + tooltips + sensible defaults","Sec 7,A","P1","8","Design/FE","P2-03","One-click guest join; first-time tooltips reduce learning curve"
"P6-06","6 - Polish, Scale, Apps, AI","Accessibility","Keyboard nav, captions, screen-reader labels","Sec 7","P1","8","FE","P2-08","Keyboard-only usable; captions; SR labels on controls"
"P6-07","6 - Polish, Scale, Apps, AI","AI","AI note-taker / transcription / summaries (Whisper/Deepgram + Claude)","Sec 6.21,A","P1","13","AI/BE","P5-09","Recorded meeting -> accurate transcript + summary + action items"
"P6-08","6 - Polish, Scale, Apps, AI","AI","AI assistant (in-space Q&A, 'what did I miss?', scheduling)","Sec 6.21","P2","13","AI/BE","P6-07","Assistant answers questions about space activity"
"P6-09","6 - Polish, Scale, Apps, AI","AI","AI NPC/greeter (optional)","Sec 6.21,6.25","P2","8","AI","P6-08","Optional greeter/guide agent in-space"
"P6-10","6 - Polish, Scale, Apps, AI","Compliance","SOC 2 Type II, GDPR, HIPAA (BAA) posture","Sec 3,8","P1","21","Security","P5-07","Controls, DPAs, BAA path established and audited"
"P6-11","6 - Polish, Scale, Apps, AI","Reliability","Zero-downtime deploys + autoscaling + >=99.9% SLA hardening","Sec 8","P1","13","DevOps","P0-04","Sticky-session-aware LB; Redis fan-out; rolling deploys"
